MKA Blade Inspection Log -- 2026-06-01T14:52:09.358732
======================================================================

EVENT LOG
---------
[14:49:18] START Calibration inspection recording started (angle-change gated, peak-sharpness mode)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:39] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:40] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:41] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:42] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:43] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:44] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:45] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:46] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:47] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:47] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:47] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:47] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:47] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:47] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:47] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:47] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:48] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:49] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:50] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:51] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:52] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:53] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:54] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:55] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:56] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:57] ERR   sample error: not enough values to unpack (expected 6, got 3)
[14:49:58] OK    angle=35.00°  depth=2.0309mm  pitch=3.1245mm  sharp=146.04
[14:50:00] OK    angle=30.00°  depth=2.1090mm  pitch=3.0855mm  sharp=152.44
[14:50:05] OK    angle=25.00°  depth=2.2913mm  pitch=3.0073mm  sharp=157.91
[14:50:10] OK    angle=20.00°  depth=1.9658mm  pitch=3.0724mm  sharp=143.45
[14:50:16] OK    angle=15.00°  depth=1.4581mm  pitch=3.0464mm  sharp=148.26
[14:50:21] OK    angle=10.00°  depth=0.9504mm  pitch=3.0724mm  sharp=154.66
[14:52:09] DONE  peak_sharpness: angle=25.0°  depth=2.2913mm  pitch=3.0073mm  sharp=157.91  samples=6

SHARP SAMPLES (blur >= threshold)
----------------------------------
   #     angle    depth_mm    pitch_mm  sharpness
   1     35.00      2.0309      3.1245    146.04
   2     30.00      2.1090      3.0855    152.44
   3     25.00      2.2913      3.0073    157.91
   4     20.00      1.9658      3.0724    143.45
   5     15.00      1.4581      3.0464    148.26
   6     10.00      0.9504      3.0724    154.66

BLURRY SAMPLES (blur < threshold)
----------------------------------
None.

SUMMARY
-------
Sharp accepted : 6
Blurry recorded: 0

FIRST SHARP SAMPLE (no transition found)
Angle      : 35.0 deg
Depth      : 2.0309 mm
Pitch      : 3.1245 mm
Sharpness : 146.04
